seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q,margin_loss,mean_q_gap
1,90,4362,0.7150000000000001,-0.4999999888241291,50,4362,0.6483076810836792,0.008888211101293564,5.5345866712741554e-05,0.009164940565824509,0.11810863018035889,0.0,0.0
1,91,4412,0.7118333333333333,-0.4999999888241291,50,4412,0.6607521176338196,0.03759877756237984,4.0929859096650034e-05,0.03780342638492584,0.11877994239330292,0.0,0.0
1,92,4462,0.7086666666666668,-0.4999999888241291,50,4462,0.6883736252784729,0.009804414585232735,4.431620254763402e-05,0.010025995783507824,0.1229608878493309,0.0,0.0
1,93,4512,0.7055,-0.4999999888241291,50,4512,0.7254660725593567,0.0103441858664155,6.709624722134322e-05,0.010679666884243488,0.11304256319999695,0.0,0.0
1,94,4562,0.7023333333333333,-0.4999999888241291,50,4562,0.7496572732925415,0.010654032230377197,4.3112693674629554e-05,0.010869596153497696,0.10601769387722015,0.0,0.0
1,95,4595,0.6991666666666667,0.6800000071525574,33,4595,0.7693742513656616,0.008200442418456078,2.686918196559418e-05,0.008334788493812084,0.1326025426387787,0.0,0.0
1,96,4645,0.696,-0.4999999888241291,50,4645,0.7949110865592957,0.008158698678016663,4.159091622568667e-05,0.008366653695702553,0.1661144196987152,0.0,0.0
1,97,4695,0.6928333333333334,-0.4999999888241291,50,4695,0.8150623440742493,0.014323368668556213,0.001202619168907404,0.020336464047431946,0.1914401799440384,0.0,0.0
1,98,4745,0.6896666666666667,-0.4999999888241291,50,4745,0.8368704915046692,0.009148016571998596,5.633629552903585e-05,0.009429697878658772,0.18605726957321167,0.0,0.0
1,99,4795,0.6865,-0.4999999888241291,50,4795,0.8559569716453552,0.013934808783233166,3.1558047339785844e-05,0.014092599041759968,0.19333010911941528,0.0,0.0
1,100,4845,0.6833333333333333,-0.4999999888241291,50,4845,0.8673000335693359,0.01207378227263689,4.8293884901795536e-05,0.012315251864492893,0.1837858259677887,0.0,0.0
1,101,4895,0.6801666666666667,-0.4999999888241291,50,4895,0.8685068488121033,0.034184571355581284,9.665089601185173e-05,0.03466782718896866,0.17480316758155823,0.0,0.0
1,102,4945,0.677,-0.4999999888241291,50,4945,0.8832943439483643,0.038196541368961334,0.00018658024782780558,0.03912944346666336,0.16662226617336273,0.0,0.0
1,103,4991,0.6738333333333333,0.5500000100582838,46,4991,0.8998515605926514,0.016052400693297386,2.9432509109028615e-05,0.016199562698602676,0.17279846966266632,0.0,0.0
1,104,5041,0.6706666666666667,-0.4999999888241291,50,5000,0.9094400405883789,0.019187329337000847,8.629546937299892e-05,0.0196188073605299,0.16893738508224487,0.0,0.0
1,105,5091,0.6675,-0.4999999888241291,50,5000,0.9229112863540649,0.015828385949134827,6.308923184406012e-05,0.016143832355737686,0.18331825733184814,0.0,0.0
1,106,5141,0.6643333333333333,-0.4999999888241291,50,5000,0.9384129047393799,0.01596648246049881,3.142009154544212e-05,0.016123583540320396,0.2001575380563736,0.0,0.0
1,107,5191,0.6611666666666667,-0.4999999888241291,50,5000,0.9439562559127808,0.019930873066186905,5.3639021643903106e-05,0.020199067890644073,0.2024810016155243,0.0,0.0
1,108,5241,0.658,-0.4999999888241291,50,5000,0.9502978920936584,0.009775598533451557,3.9763530367054045e-05,0.009974416345357895,0.21361958980560303,0.0,0.0
1,109,5291,0.6548333333333334,-0.4999999888241291,50,5000,0.963857889175415,0.04965485632419586,0.0001154385317931883,0.05023204907774925,0.18870389461517334,0.0,0.0
1,110,5341,0.6516666666666667,-0.4999999888241291,50,5000,0.9766002297401428,0.04093090072274208,8.980085112852976e-05,0.0413799062371254,0.17133887112140656,0.0,0.0
1,111,5391,0.6485000000000001,-0.4999999888241291,50,5000,0.9871031641960144,0.06114501506090164,5.55494443688076e-05,0.06142276152968407,0.20085494220256805,0.0,0.0
1,112,5441,0.6453333333333333,-0.4999999888241291,50,5000,1.0031700134277344,0.07092724740505219,8.159111166605726e-05,0.07133520394563675,0.18856346607208252,0.0,0.0
1,113,5491,0.6421666666666668,-0.4999999888241291,50,5000,1.0129345655441284,0.12314311414957047,5.4783911764388904e-05,0.12341703474521637,0.18347056210041046,0.0,0.0
1,114,5519,0.639,0.7300000060349703,28,5000,1.011610507965088,0.01555640809237957,6.184415542520583e-05,0.0158656295388937,0.16153497993946075,0.0,0.0
1,115,5569,0.6358333333333333,-0.4999999888241291,50,5000,1.0167126655578613,0.02462630346417427,6.051124364603311e-05,0.024928860366344452,0.13404668867588043,0.0,0.0
1,116,5619,0.6326666666666667,-0.4999999888241291,50,5000,1.0223647356033325,0.053584080189466476,0.00020771323761437088,0.05462264642119408,0.17132487893104553,0.0,0.0
1,117,5669,0.6295,-0.4999999888241291,50,5000,1.0409657955169678,0.19626125693321228,0.00035781762562692165,0.1980503499507904,0.20698338747024536,0.0,0.0
1,118,5719,0.6263333333333334,-0.4999999888241291,50,5000,1.0542540550231934,0.038602061569690704,0.0001593862980371341,0.03939899429678917,0.19526046514511108,0.0,0.0
1,119,5769,0.6231666666666666,-0.4999999888241291,50,5000,1.0695501565933228,0.04231005907058716,8.514205546816811e-05,0.04273577034473419,0.25041764974594116,0.0,0.0
1,120,5819,0.62,-0.4999999888241291,50,5000,1.071695327758789,0.04157540947198868,5.037800292484462e-05,0.04182729870080948,0.284812867641449,0.0,0.0
1,121,5869,0.6168333333333333,-0.4999999888241291,50,5000,1.0779927968978882,0.03265795856714249,0.00011642836034297943,0.03324010223150253,0.2743593454360962,0.0,0.0
1,122,5919,0.6136666666666667,-0.4999999888241291,50,5000,1.0807743072509766,0.028925728052854538,1.4509774700854905e-05,0.028998276218771935,0.28999802470207214,0.0,0.0
1,123,5969,0.6105,-0.4999999888241291,50,5000,1.0853760242462158,0.013876723125576973,2.9740778700215742e-05,0.014025427401065826,0.3165506422519684,0.0,0.0
1,124,6019,0.6073333333333333,-0.4999999888241291,50,5000,1.0844995975494385,0.018354935571551323,2.1196041416260414e-05,0.018460916355252266,0.3868013620376587,0.0,0.0
1,125,6069,0.6041666666666667,-0.4999999888241291,50,5000,1.088138461112976,0.022383350878953934,4.774574699695222e-05,0.022622080519795418,0.42811155319213867,0.0,0.0
1,126,6119,0.601,-0.4999999888241291,50,5000,1.0897804498672485,0.09939137101173401,7.35845896997489e-05,0.0997592955827713,0.48102888464927673,0.0,0.0
1,127,6169,0.5978333333333333,-0.4999999888241291,50,5000,1.09480881690979,0.023360366001725197,6.773924542358145e-05,0.023699061945080757,0.523197591304779,0.0,0.0
1,128,6219,0.5946666666666667,-0.4999999888241291,50,5000,1.0977892875671387,0.0331479087471962,6.507158104795963e-05,0.033473268151283264,0.5334741473197937,0.0,0.0
1,129,6269,0.5915,-0.4999999888241291,50,5000,1.1015537977218628,0.014511367306113243,5.973882434773259e-05,0.01481006108224392,0.4912857711315155,0.0,0.0
1,130,6319,0.5883333333333334,-0.4999999888241291,50,5000,1.1017346382141113,0.03101588971912861,2.7663667424349114e-05,0.03115420788526535,0.5001184344291687,0.0,0.0
1,131,6369,0.5851666666666667,-0.4999999888241291,50,5000,1.1018034219741821,0.0147081408649683,2.2406431526178494e-05,0.014820173382759094,0.5233215093612671,0.0,0.0
1,132,6419,0.5820000000000001,-0.4999999888241291,50,5000,1.103760838508606,0.04608064889907837,7.101790833985433e-05,0.04643573984503746,0.47950929403305054,0.0,0.0
1,133,6469,0.5788333333333333,-0.4999999888241291,50,5000,1.0988054275512695,0.015722250565886497,3.437324630795047e-05,0.015894116833806038,0.4489111304283142,0.0,0.0
1,134,6519,0.5756666666666668,-0.4999999888241291,50,5000,1.0953476428985596,0.09077257663011551,4.53676693723537e-05,0.09099941700696945,0.48270606994628906,0.0,0.0
1,135,6569,0.5725,-0.4999999888241291,50,5000,1.0942696332931519,0.03896031156182289,0.00014637796266470104,0.03969220072031021,0.48768410086631775,0.0,0.0
1,136,6619,0.5693333333333334,-0.4999999888241291,50,5000,1.09674870967865,0.08858443796634674,5.638961010845378e-05,0.08886638283729553,0.4974101483821869,0.0,0.0
1,137,6669,0.5661666666666667,-0.4999999888241291,50,5000,1.1041240692138672,0.06008841097354889,7.642181299161166e-05,0.060470521450042725,0.4711465835571289,0.0,0.0
1,138,6719,0.563,-0.4999999888241291,50,5000,1.1087360382080078,0.05964593216776848,5.9952384617645293e-05,0.05994569510221481,0.4246608018875122,0.0,0.0
1,139,6769,0.5598333333333334,-0.4999999888241291,50,5000,1.1089617013931274,0.014194803312420845,4.474493835004978e-05,0.014418528415262699,0.3900894820690155,0.0,0.0
1,140,6819,0.5566666666666666,-0.4999999888241291,50,5000,1.1092332601547241,0.05338478833436966,2.4704870156710967e-05,0.05350831151008606,0.37539392709732056,0.0,0.0
1,141,6869,0.5535000000000001,-0.4999999888241291,50,5000,1.1104837656021118,0.04681777209043503,3.4386608604108915e-05,0.04698970541357994,0.35149943828582764,0.0,0.0
1,142,6919,0.5503333333333333,-0.4999999888241291,50,5000,1.119234561920166,0.014124244451522827,4.195010114926845e-05,0.014333995059132576,0.2775856852531433,0.0,0.0
1,143,6969,0.5471666666666667,-0.4999999888241291,50,5000,1.122800588607788,0.01691529154777527,0.00016195209173019975,0.017725052312016487,0.34301966428756714,0.0,0.0
1,144,7019,0.544,-0.4999999888241291,50,5000,1.128187656402588,0.03166051581501961,0.00015078840078786016,0.03241445869207382,0.3033849000930786,0.0,0.0
1,145,7069,0.5408333333333333,-0.4999999888241291,50,5000,1.1455103158950806,0.020698681473731995,0.00016491628775838763,0.021523263305425644,0.26755112409591675,0.0,0.0
1,146,7119,0.5376666666666667,-0.4999999888241291,50,5000,1.16024649143219,0.038934797048568726,0.0015159881440922618,0.046514738351106644,0.31032636761665344,0.0,0.0
